260 =  'PHILIPPINES'='Asia'
416 =  'PITCAIRN ISLANDS'='Oceania'
107 =  'POLAND'='Europe'
126 =  'PORTUGAL'='Eurasia'
297 =  'QATAR'='Gulf'
748 =  'REPUBLIC OF SOUTH SUDAN'='Africa'
321 =  'REUNION'='Africa'
127 =  'ROMANIA'='Europe'
158 =  'RUSSIA'='Eurasia'
376 =  'RWANDA'='Africa'
128 =  'SAN MARINO'='Europe'
330 =  'SAO TOME AND PRINCIPE'='Africa'
261 =  'SAUDI ARABIA'='Gulf'
391 =  'SENEGAL'='Africa'
142 =  'SERBIA AND MONTENEGRO'='Europe'
745 =  'SERBIA'='Europe'
347 =  'SEYCHELLES'='Africa'
348 =  'SIERRA LEONE'='Africa'
207 =  'SINGAPORE'='Asia'
141 =  'SLOVAKIA'='Europe'
166 =  'SLOVENIA'='Europe'
412 =  'SOLOMON ISLANDS'='Oceania'
397 =  'SOMALIA'='Africa'
373 =  'SOUTH AFRICA'='Africa'
276 =  'SOUTH KOREA'='Asia'
129 =  'SPAIN'='Europe'
244 =  'SRI LANKA'='Asia'
346 =  'ST. HELENA'='Africa'
522 =  'ST. KITTS-NEVIS'='North America'
523 =  'ST. LUCIA'='North America'
502 =  'ST. PIERRE AND MIQUELON'='North America'
524 =  'ST. VINCENT-GRENADINES'='North America'
716 =  'SAINT BARTHELEMY'='North America'
736 =  'SAINT MARTIN'='North America'
749 =  'SAINT MAARTEN'='North America'
350 =  'SUDAN'='Africa'
602 =  'SURINAME'='South America'
351 =  'SWAZILAND'='Africa'
130 =  'SWEDEN'='Europe'
131 =  'SWITZERLAND'='Europe'
262 =  'SYRIA'='Asia'
268 =  'TAIWAN'='Asia'
159 =  'TAJIKISTAN'='Asia'
353 =  'TANZANIA'='Asia'
263 =  'THAILAND'='Asia'
304 =  'TOGO'='Africa'
417 =  'TONGA'='Oceania'
516 =  'TRINIDAD AND TOBAGO'='South America'
323 =  'TUNISIA'='Africa'
264 =  'TURKEY'='Eurasia'
161 =  'TURKMENISTAN'='Asia'
527 =  'TURKS AND CAICOS ISLANDS'='North America'
420 =  'TUVALU'='Oceania'
352 =  'UGANDA'='Africa'
162 =  'UKRAINE'='Europe'
296 =  'UNITED ARAB EMIRATES'='Gulf'
135 =  'UNITED KINGDOM'='Europe'
695 =  'URUGUAY'='South America'
163 =  'UZBEKISTAN'='Asia'
410 =  'VANUATU'='Oceania'
696 =  'VENEZUELA'='South America'
266 =  'VIETNAM'='Asia'
469 =  'WALLIS AND FUTUNA ISLANDS'='Oceania'
757 =  'WEST INDIES (FRENCH)'='North America'
333 =  'WESTERN SAHARA'='Africa'
465 =  'WESTERN SAMOA'='Oceania'
216 =  'YEMEN'='Asia'
139 =  'YUGOSLAVIA'='Europe'
301 =  'ZAIRE'='Africa'
344 =  'ZAMBIA'='Africa'
315 =  'ZIMBABWE'='Africa'
403 =  'INVALID: AMERICAN SAMOA'='INVALID'
712 =  'INVALID: ANTARCTICA'='INVALID'
700 =  'INVALID: BORN ON BOARD SHIP'='INVALID'
719 =  'INVALID: BOUVET ISLAND (ANTARCTICA/NORWAY TERR.)'='INVALID'
574 =  'INVALID: CANADA'='INVALID'
720 =  'INVALID: CANTON AND ENDERBURY ISLS'='INVALID'
106 =  'INVALID: CZECHOSLOVAKIA'='INVALID'
739 =  'INVALID: DRONNING MAUD LAND (ANTARCTICA-NORWAY)'='INVALID' 
394 =  'INVALID: FRENCH SOUTHERN AND ANTARCTIC'='INVALID'
501 =  'INVALID: GREENLAND'='INVALID'
404 =  'INVALID: GUAM'='INVALID'
730 =  'INVALID: INTERNATIONAL WATERS'='INVALID' 
731 =  'INVALID: JOHNSON ISLAND'='INVALID'
