code,port,locality,state,country
ABG,,Alburg,Vermont,Unites States
BEB,,Beebe Plain,Vermont,Unites States
BEE,,Beecher Falls,Vermont,Unites States
BRG,,Burlington,Vermont,Unites States
CNA,,Canaan,Vermont,Unites States
DER,Derby Line,Derby,Vermont,Unites States
DLV,Derby Line,Derby,Vermont,Unites States
ERC,,East Richford,Vermont,Unites States
HIG,,Highgate Springs,Vermont,Unites States
MOR,Morses Line Border Crossing,Franklin,Vermont,Unites States
NPV,,Newport,Vermont,Unites States
NRT,,North Troy,Vermont,Unites States
NRN,,Norton,Vermont,Unites States
PIV,Pinnacle Road - East Pinnacle Border,Richford,Vermont,Unites States
RIF,,Richfort,Vermont,Unites States
STA,,St Albans,Vermont,Unites States
SWB,,Swanton,Vermont,Unites States
WBE,,Berkshire,Vermont,Unites States
ABE,,Aberdeen,Washington,Unites States
ANA,,Anacortes,Washington,Unites States
BEL,,Bellingham,Washington,Unites States
BLI,,Bellingham,Washington,Unites States
BLA,,Blaine,Washington,Unites States
BWA,,Boundary,Washington,Unites States
CUR,,Curlew,Washington,Unites States
DVL,,Danville,Washington,Unites States
EVE,,Everett,Washington,Unites States
FER,,Ferry,Washington,Unites States
FRI,,Friday Harbor,Washington,Unites States
FWA,Frontier - Paterson Border Crossing,Northport,Washington,Unites States
KLM,,Kalama,Washington,Unites States
LAU,,Laurier,Washington,Unites States
LON,,Longview,Washington,Unites States
MET,,Metaline Falls,Washington,Unites States
MWH,Grant County Airport,Moses Lake,Washington,Unites States
NEA,,Neah Bay,Washington,Unites States
NIG,,Nighthawk,Washington,Unites States
OLY,,Olympia,Washington,Unites States
ORO,,Oroville,Washington,Unites States
PWB,,Pasco,Washington,Unites States
PIR,,Point Roberts,Washington,Unites States
PNG,,Port Angeles,Washington,Unites States
PTO,,Port Townsend,Washington,Unites States
SEA,,Seattle,Washington,Unites States
SPO,,Spokane,Washington,Unites States
SUM,,Sumas,Washington,Unites States
TAC,,Tacoma,Washington,Unites States
PSC,Tri-Cities Airport,Pasco,Washington,Unites States
VAN,,Vancouver,Washington,Unites States
AGM,,Algoma,Wisconsin,Unites States
BAY,,Bayfield,Wisconsin,Unites States
GRB,,Green Bay,Wisconsin,Unites States
MNW,,Manitowoc,Wisconsin,Unites States
MIL,,Milwaukee,Wisconsin,Unites States
MSN,Truax Field/Dane County,Madison,Wisconsin,Unites States
CHS,,Charleston,West Virginia,Unites States
CLK,,Clarksburg,West Virginia,Unites States
BLF,Mercer County Airport,Bluefield,West Virginia,Unites States
CSP,,Casper,Wyoming,Unites States
CNC,Cannon Corners - Covey Hill Border Crossing,Mooers,New York,Unites States
AG0,,Magnolia,Arkansas,Unites States
BHM,,Bar Harbor,Maine,Unites States
BHX,,Birmingham,Alabama,Unites States
CAK,,Akron,Ohio,Unites States
FOK,,Suffolk County,New York,Unites States
LND,,Lander,Wyoming,Unites States
MAR,,Marfa,Texas,Unites States
MLI,,Moline,Illinois,Unites States
RIV,,Riverside,California,Unites States
RME,,Rome,New York,Unites States
VNY,,Van Nuys,California,Unites States
YUM,,Yuma,Arizona,Unites States
FRG,,Suffolk,New York,Unites States
HRL,,Harlingen,Texas,Unites States
ISP,,Suffolk,New York,Unites States
JSJ,,San Juan,Puerto Rico,Unites States
BUS,,Buffalo,New York,Unites States
IAG,,Niagara Falls,New York,Unites States
PHN,,Port Huron,Michigan,Unites States
STN,,Santa Teresa,New Mexico,Unites States
VMB,,Van Buren,Maine,Unites States
T01,,Seattle,Washington,Unites States
GTF,,International Falls,Minnesota,Unites States
INL,,International Falls,Minnesota,Unites States
XXX,NOT REPORTED/UNKNOWN,NOT REPORTED/UNKNOWN,NOT REPORTED/UNKNOWN,NOT REPORTED/UNKNOWN
888,UNIDENTIFED AIR / SEAPORT,UNIDENTIFED AIR / SEAPORT,UNIDENTIFED AIR / SEAPORT,UNIDENTIFED AIR / SEAPORT
UNK,UNKNOWN POE,UNKNOWN POE,UNKNOWN POE,UNKNOWN POE
