code
CLG
EDA
YHC
HAL
MON
OTT
YXE
TOR
VCV
VIC
WIN
AMS
ARB
BAN
BEI
PEK
BDA
BOG
EZE
CUN
CRQ
MVD
DUB
FOU
FBA
MTY
HMO
GCM
GDL
HAM
ICN
CND
LAH
DUR
MAL
MDE
MEX
LHR
NBO
NAS
NCA
PTY
SPV
UIO
RIT
SNO
SLP
SAN
SRO
GRU
SHA
HIL
TOK
VER
LGW
MAA
SAI
ALC
ANC
BAR
DAC
PIZ
DTH
EGL
FRB
HOM
HYD
JUN
5KE
KET
MOS
NIK
NOM
PKC
ORI
SKA
SNP
TKI
WRA
HSV
MOB
LIA
ROG
DOU
LUK
MAP
NAC
NOG
PHO
POR
SLU
SAS
TUC
YUI
AND
BUR
CAL
CAO
FRE
ICP
LNB
LOS
BFL
OAK
ONT
OTM
BLT
PSP
SAC
SLS
SDP
SFR
SNJ
SLO
SLI
SPC
SYS
SAA
STO
TEC
TRV
APA
ASE
COS
DEN
DRO
BDL
BGC
GRT
HAR
NWH
NWL
TST
WAS
DOV
DVD
WLL
BOC
SRQ
CAN
DAB
FRN
FTL
FMY
FPF
HUR
GNV
JAC
KEY
LEE
MLB
MIA
APF
OPF
ORL
PAN
PEN
PCF
PEV
PSJ
SFB
SGJ
SAU
FPR
SPE
TAM
WPB
ATL
BRU
AGS
SAV
AGA
HHW
OGG
KOA
LIH
CID
DSM
BOI
EPI
IDA
PTL
SPI
CHI
DPA
PIA
RFD
UGN
GAR
HMM
INP
MRL
SBN
ICT
LEX
LOU
BTN
LKC
LAK
MLU
MGC
NOL
BOS
GLO
BED
LYN
ADW
BAL
MKG
PAX
BGM
BOO
BWM
BCK
CLS
CRB
COB
EST
EPT
EPM
FOR
FTF
FTK
HML
HTM
JKM
KAL
LIM
LUB
MAD
POM
RGM
SBR
SRL
SPA
VNB
VCB
AGN
ALP
BCY
DET
GRP
GRO
ISL
MRC
MRY
PTK
PHU
RBT
SAG
SSM
SCL
YIP
BAU
CAR
CRA
MIC
DUL
ELY
GPM
SVC
INT
LAN
MSP
LIN
NOY
PIN
48Y
RAN
RST
ROS
SPM
WSB
WAR
KAN
SGF
STL
WHI
WHM
GPT
GTR
GUL
PAS
JAN
BIL
BTM
CHF
CTB
CUT
DLB
EUR
BZN
FCA
GGW
GRE
HVR
HEL
LWT
MGM
OPH
PIE
RAY
ROO
SCO
SWE
TRL
TUR
WCM
CLT
FAY
MRH
FOP
GSO
RDU
SSC
WIL
AMB
ANT
CRY
DNS
FAR
FRT
GRF
HNN
HNS
MAI
MND
NEC
NOO
NRG
PEM
SAR
SHR
SJO
WAL
WHO
WND
OMA
LEB
MHT
PNH
PSM
BYO
CNJ
HOB
JER
WRI
MMU
NEW
PER
ACY
ALA
ABQ
ANP
CRL
COL
CDD
DNM
LAS
LOB
RUI
STR
RNO
FLX
LVG
REN
ALB
AXB
BUF
CNH
CAP
CHM
CHT
CLA
FTC
LAG
LEW
MAS
MAG
MOO
MRR
NYC
NIA
OGD
OSW
ELM
ROC
ROU
SWF
SYR
THO
TRO
WAT
HPN
WRB
YOU
AKR
ATB
CIN
CLE
CLM
LOR
MBO
SDY
TOL
OKC
TUL
AST
COO
HIO
MED
NPT
POO
PUT
RDM
ERI
MDT
HSB
PHI
PIT
AGU
BQN
JCP
ENS
FAJ
HUM
JOB
MAY
PON
PSE
SAJ
VQS
PRO
PVD
CHL
CAE
GEO
GSP
GRR
MYR
SPF
HON
TYS
MEM
NSV
TRI
ADS
ADT
ANZ
AUS
BEA
BBP
SCC
BTC
BOA
BRO
CRP
DAL
DLR
DNA
EGP
ELP
FAB
FAL
FTH
AFW
FPT
GAL
HLG
HID
HOU
SGR
LLB
LCB
LRN
LAR
LSE
IND
LOI
MRS
MCA
MAF
PDN
PBB
PHR
PAR
ISB
POE
PRE
PGR
RIO
ROM
SNA
SNN
VIB
YSL
CHA
CHR
CRU
FRK
STT
LGU
SLC
CHO
DAA
HOP
HEF
NWN
NOR
RCM
ABS
ABG
BEB
BEE
BRG
CNA
DER
DLV
ERC
HIG
MOR
NPV
NRT
NRN
PIV
RIF
STA
SWB
WBE
ABE
ANA
BEL
BLI
BLA
BWA
CUR
DVL
EVE
FER
FRI
FWA
KLM
LAU
LON
MET
MWH
NEA
NIG
OLY
ORO
PWB
PIR
PNG
PTO
SEA
SPO
SUM
TAC
PSC
VAN
AGM
BAY
GRB
MNW
MIL
MSN
CHS
CLK
BLF
CSP
CNC
AG0
BHM
BHX
CAK
FOK
LND
MAR
MLI
RIV
RME
VNY
YUM
FRG
HRL
ISP
JSJ
BUS
IAG
PHN
STN
VMB
T01
GTF
INL
XXX
888
UNK
